donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies,source,generation_timestamp
"Typically, as a person, for the most part, the jungle book. is a certifiable genius. even though he has a master’s degree in computer science and works as a software developer, he has also spent a lot of his time helping biologists analyze dna samples from wild bats in foreign jungles. to collect the samples, he traveled to multiple countries and spent time in some of the most remote jungles in the world. perhaps even more interesting, this computer science whiz’s master’s thesis was an algorithm that shed light on artificial intelligence, and his findings were world-renowned. he is a witty, charming guy who complements his intelligence with a wonderful personality, to boot—he can talk to anyone about anything, and his laugh is infectious.. shah rukh khan irrfan khan",5'9 (175cm),173 lbs (78kg),Brown,Black,,Master,Chemistry,East Indian,,,,synthetic,1731175358.8315442
"Contagious Laugh. As a kid, this basketball enthusiast spent hours in meditative thought – not that you would guess it from how talkative he is now! With his contagious laugh and knack for public speaking, it’s no wonder that this chemistry major envisions himself becoming a professor someday. Bilingual in English and Hindi, this amateur bodybuilder prides himself on his forward-thinking sense of style. While he has already traveled the world solo, hopes to backpack around Europe in the near future.. Aamir Khan (actor) Ajmal Ameer",5'10 (178cm),162 lbs (73kg),Black,Black,,Bachelor,Computer Engineering,East Indian,,,,synthetic,1731175358.83216
"Characteristically, outgoing optimist",5'10 (178cm),190 lbs (86kg),Brown,Dark Brown,,Master,Computer Science,East Indian,Hindu,,,synthetic,1731175358.8324869
"By nature, the organizer. is the friend you want to take on vacation to make sure enotablyone sticks to the plan. detail oriented and orderly, he will make sure enotablything is in place and enotablyone is on time. he is driven about to cook and takes pleasure in watching shows that inspire him to be a better chef. always with a remarkable book in hand, a well thought out plan and the will power to follow through, this donor is reliable and dependable to the people in his life. he may not be the life of the party, but he will make sure it is smashing success – and that there are plenty of coasters to go around.. a.r. rahman sachin tendulkar",5'11 (180cm),164 lbs (74kg),Brown,Black,,Postgraduate,Computer Science,East Indian,Islam,,,synthetic,1731175358.8329742
"Characteristically, intellectually curious",5'8 (173cm),189 lbs (86kg),Brown,Black,,Master,"Economics, Mathematics",East Indian,Islam,,,synthetic,1731175358.833299
"As a person, typically, quadrilingual architect. is committed about his career as an architect. he’s had a lifelong creative streak and drawing has always been a favorite pastime, from doodling to designing buildings! this smart cookie has an m.s. in architecture (3.7 gpa) and can even speak four languages fluently. to stay in shape, he delights in tennis, yoga, and weightlifting. he also delights in quality time in the great outdoors, such as hiking or strolling through parks. with doe eyes and an empathetic personality, he’s as caring as he is handsome!",5'9 (175cm),162 lbs (73kg),Black,Dark Brown,,Master,Architecture,East Indian,Hindu,,,synthetic,1731175358.8338351
"Smart and Sweet. Close with his family and eager to succeed, is a delightful young man. An outstanding engineering student with excellent math and mechanical skills, he is focused on remaining tied to his Indian heritage through cricket, home cooked meals, and music and movies from India. His goal is to complete his education in the US and return to India to reopen his father's factory. Honest and straight-forward, he has worked hard to become a man his family can be proud of after being something of a difficult teenager.. Aziz Ansari",5'9 (175cm),195 lbs (88kg),Brown,Black,,Bachelor,"Computer Science, Information Systems and Mgmt",East Indian,Hindu,,,synthetic,1731175358.834194
"For the most part, overall, a bengali brainiac. says he works well under pressure. he came to the u.s. from bangladesh as a college freshman, graduated with a 4.07 gpa (and latin honors) in biochemistry/molecular biology, and now has a fellowship researching diabetes and alzheimer’s. no surprise, considering his dad is a doctor and his mom has her master’s. he is enthusiastic about to travel because it reminds him of how small we are and how vast the world is. he calls himself “talkative,” and delights in his weekly soccer games, and reading detective novels. he believes that when life gives you lemons, you should make lemonade…and fill the glass half full.",5'9 (175cm),191 lbs (87kg),Brown,Black,,Master,"Biochemistry, Molecular Biology",East Indian,Islam,,,synthetic,1731175358.834879
"Tri-Lingual Cutie. Outgoing and sociable, treasures getting to spend time with his family and friends, whether playing sports, watching movies, or even traveling. This tri-lingual cutie with deep brown eyes stays in impressive shape and is always nicely dressed. He’s these days attending school to become a therapist, a perfect occupation for someone with his passion for helping others and zest for learning. Very dedicated to his studies, all his hard work paid off when he was accepted into his Master’s program, one of his proudest accomplishments to date.. Ahsan Khan Naveen Andrews",5'10 (178cm),152 lbs (69kg),Black,Black,,Master,"Business, Finance, Information Systems and Mgmt",East Indian,Presbyterian,,,synthetic,1731175358.835617
"Typically, in general, optimistic engineer. it takes a special person to move to a new country alone, get a master’s in computer science, and become a successful data engineer — and that’s exactly what did. of east indian descent, he has curly black hair, high cheekbones, and a warm smile. he speaks three languages (english, hindi, and punjabi), cherishes singing and writing poetry, and stays active with cricket and soccer. he has an unwavering positive outlook, and dreams of one day spreading a message of unity to the world.",5'9 (175cm),147 lbs (67kg),Black,Black,,Bachelor,Electrical Engineering,East Indian,Sikh,,,synthetic,1731175358.836152
"Adventurous Linguist. Meet , a remarkably successful software engineer with a strong sense of self and discipline. He came to the U.S. from India to attain his master’s degree and believes in giving 100% of himself into eremarkablything he does. stays true to his Jainism beliefs and maintains a vegetarian diet and has never tried alcohol. Outside of his regimented lifestyle, he favors traveling with family, trying new (and spicy) food, and dabbles in art. Did we mention he knows how to speak four languages?",5'7 (170cm),190 lbs (86kg),Brown,Black,,Master,Computer Science,East Indian,Jain,,,synthetic,1731175358.836589
"For the most part, chill social worker. strikingly handsome with a smile that lights up a room, is the guy at parties who goes out of his way to make newcomers feel welcome. a real people person, his outgoing nature, vibrant personality, and profound sense of empathy are a perfect fit for his career as a social worker. with an m.s. in social work in hand, he has dedicated his life to helping those in need. his slim, athletic build comes from years of practicing martial arts, specifically muay thai and wing chun.",5'10 (178cm),166 lbs (75kg),Black,Black,,Bachelor,"Computer Science, Information Systems and Mgmt",East Indian,Buddhism,,,synthetic,1731175358.836925
